"message","ts","data"
"remote_audio_level",1642259134699,"{""audioLevel"":0.0044668359215096305,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259135115,"{""audioLevel"":0.005011872336272725,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"local_audio_level",1642259135516,"{""audioLevel"":0,""totalAudioEnergy"":1.6431606695004517}"
"remote_audio_level",1642259135517,"{""audioLevel"":0.08912509381337455,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259135700,"{""audioLevel"":0.03548133892335755,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259136119,"{""audioLevel"":0.012589254117941675,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"local_audio_level",1642259136510,"{""audioLevel"":0,""totalAudioEnergy"":1.6431606695004517}"
"remote_audio_level",1642259136518,"{""audioLevel"":0.039810717055349734,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259136719,"{""audioLevel"":0.11220184543019636,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259137110,"{""audioLevel"":0.007943282347242814,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"local_audio_level",1642259137510,"{""audioLevel"":0,""totalAudioEnergy"":1.6431606695004517}"
"remote_audio_level",1642259137518,"{""audioLevel"":0.0044668359215096305,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259137699,"{""audioLevel"":0.011220184543019636,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259138110,"{""audioLevel"":0.0044668359215096305,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"local_audio_level",1642259138510,"{""audioLevel"":0,""totalAudioEnergy"":1.6431606695004517}"
"remote_audio_level",1642259138518,"{""audioLevel"":0.01778279410038923,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259138700,"{""audioLevel"":0.003981071705534973,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259139119,"{""audioLevel"":0.005623413251903491,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"local_audio_level",1642259139510,"{""audioLevel"":0,""totalAudioEnergy"":1.6431606695004517}"
"remote_audio_level",1642259139518,"{""audioLevel"":0.005011872336272725,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259139701,"{""audioLevel"":0.003981071705534973,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259140110,"{""audioLevel"":0.0031622776601683794,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"local_audio_level",1642259140510,"{""audioLevel"":0,""totalAudioEnergy"":1.6431606695004517}"
"remote_audio_level",1642259140537,"{""audioLevel"":0.005011872336272725,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259140705,"{""audioLevel"":0.0044668359215096305,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259141111,"{""audioLevel"":0.0044668359215096305,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_track_ended",1642259141275,"{""id"":""d7e8ad64-af75-4023-bfb7-5a13b010a7a4-2"",""kind"":""video"",""label"":""d7e8ad64-af75-4023-bfb7-5a13b010a7a4-2"",""readyState"":""ended"",""enabled"":true,""contentHint"":"""",""muted"":false}"
"remote_track_ended",1642259141276,"{""id"":""d7e8ad64-af75-4023-bfb7-5a13b010a7a4-2"",""kind"":""video"",""label"":""d7e8ad64-af75-4023-bfb7-5a13b010a7a4-2"",""readyState"":""ended"",""enabled"":true,""contentHint"":"""",""muted"":false}"
"remote_track_ended",1642259141280,"{""id"":""d7e8ad64-af75-4023-bfb7-5a13b010a7a4-2"",""kind"":""video"",""label"":""d7e8ad64-af75-4023-bfb7-5a13b010a7a4-2"",""readyState"":""ended"",""enabled"":true,""contentHint"":"""",""muted"":false}"
"local_audio_level",1642259141510,"{""audioLevel"":0,""totalAudioEnergy"":1.6431606695004517}"
